Time;Frequency;L1C [A];L1V [V];L1P ;L1Q [kVar];L1CosPhi;L2C [A];L2V [V];L2P [kW];L2Q [kVar];L2CosPhi;L3C [A];L3V [V];L3P [kW];L3Q [kVar];L3CosPhi
2024-08-20 19:13.39;50.0;0.11;13.27;0.0;-0.0;0.83;0.17;12.47;0.0;-0.0;0.91;0.11;12.71;0.0;-0.0;0.75
2024-08-20 19:13.40;50.0;0.1;12.85;0.0;-0.0;0.84;0.15;11.88;0.0;-0.0;0.88;0.11;12.08;0.0;-0.0;0.66
2024-08-20 19:13.41;50.0;0.08;12.12;0.0;-0.0;0.78;0.14;11.31;0.0;-0.0;0.86;0.1;11.49;0.0;-0.0;0.65
2024-08-20 19:13.42;50.0;0.08;12.39;0.0;-0.0;0.75;0.13;11.51;0.0;-0.0;0.83;0.11;11.8;0.0;-0.0;0.58
2024-08-20 19:13.43;50.0;0.09;12.63;0.0;-0.0;0.77;0.14;11.77;0.0;-0.0;0.86;0.1;12.05;0.0;-0.0;0.77
2024-08-20 19:13.44;49.99;0.1;13.23;0.0;-0.0;0.83;0.17;12.27;0.0;-0.0;0.89;0.11;12.45;0.0;-0.0;0.71
2024-08-20 19:13.45;50.0;0.09;12.1;0.0;-0.0;0.76;0.14;11.31;0.0;-0.0;0.86;0.1;11.42;0.0;-0.0;0.64
2024-08-20 19:13.46;50.0;0.09;12.1;0.0;-0.0;0.76;0.14;11.31;0.0;-0.0;0.86;0.1;11.42;0.0;-0.0;0.64
2024-08-20 19:13.47;50.0;0.11;13.84;0.0;-0.0;0.85;0.17;12.92;0.0;-0.0;0.91;0.11;13.33;0.0;-0.0;0.76
2024-08-20 19:13.48;50.0;0.09;14.34;0.0;-0.0;0.83;0.16;13.23;0.0;-0.0;0.88;0.12;13.6;0.0;-0.0;0.71
2024-08-20 19:13.49;50.0;0.09;13.05;0.0;-0.0;0.79;0.15;12.25;0.0;-0.0;0.89;0.1;12.51;0.0;-0.0;0.66
2024-08-20 19:13.50;50.0;0.09;13.64;0.0;-0.0;0.86;0.16;12.62;0.0;-0.0;0.87;0.11;12.85;0.0;-0.0;0.78
2024-08-20 19:13.51;50.0;0.09;12.96;0.0;-0.0;0.82;0.14;12.17;0.0;-0.0;0.9;0.1;12.46;0.0;-0.0;0.73
2024-08-20 19:13.52;50.0;0.1;13.1;0.0;-0.0;0.84;0.17;12.21;0.0;-0.0;0.92;0.11;12.42;0.0;-0.0;0.81
2024-08-20 19:13.53;50.0;0.09;12.75;0.0;-0.0;0.8;0.14;11.84;0.0;-0.0;0.84;0.11;12.23;0.0;-0.0;0.71
